person,condition,exchange
Solaire of Astora,Introduction,"Ah, hello! You don't look Hollow, far from it! I am Solaire of Astora, an adherent of the Lord of Sunlight. Now that I am Undead, I have come to this great land, the birthplace of Lord Gwyn, to seek my very own sun! ...Do you find that strange? Well, you should! No need to hide your reaction. I get that look all the time! Hah hah hah!"
Solaire of Astora,Speaking again,"Oh, ah-hah! So, I didn't scare you? I have a proposition, if you have a moment."
Solaire of Astora,"Answering ""Yes""","The way I see it, our fates appear to be intertwined. In a land brimming with Hollows, could that really be mere chance? So, what do you say? Why not help one another on this lonely journey?"
Solaire of Astora,"Answering ""No""","Well, yes, quite understandable. Not to worry. I do not wish to impose. I was in the wrong. We'll laugh it off, shall we? Hah hah hah!"
Solaire of Astora,"Answering ""Yes"" to second question","This pleases me greatly! Well then, take this. We are amidst strange beings, in a strange land. The flow of time itself is convoluted; with heroes centuries old phasing in and out. The very fabric wavers, and relations shift and obscure. There's no telling how much longer your world and mine will remain in contact. But, use this, to summon one another as spirits, cross the gaps between the worlds, and engage in jolly co-operation! Of course, we are not the only ones engaged in this. But I am a warrior of the sun! Spot my summon signature easily by its brilliant aura. If you miss it, you must be blind! Hah hah hah!"
Solaire of Astora,"Answering ""No"" to second question","Well, yes, quite understandable. Not to worry. Not to worry. I do not wish to impose. I was in the wrong. We'll laugh it off, shall we? Hah hah hah!"
Solaire of Astora,"Speaking if the player answered ""No"" to second question","Oh, hello. You're still keen on speaking to me? Then, perhaps you have reconsidered my offer?"
Solaire of Astora,Speaking after hearing all dialogue in Undead Parish,"Oh, hello there. I will stay behind, to gaze at the sun. The sun is a wondrous body. Like a magnificent father! If only I could be so grossly incandescent!"
Solaire of Astora,Speaking in Anor Londo,"Oh, there you are. You've been quiet these days. Smooth summoning out there? Anytime you see my brilliantly shining signature, do not hesitate to call upon me. You've left me with quite an impression. I would relish a chance to assist you."
Solaire of Astora,Speaking a second time in Anor Londo,"You really are fond of chatting with me, aren't you? If I didn't know better, I'd think you had feelings for me! Oh, no, dear me. Pretend you didn't hear that! Hah hah hah!"
Solaire of Astora,Speaking to Solaire at Sunlight Altar,"Oh, hello there. I'm glad to see you alive ...You have done well, indeed you have. You've a strong arm, strong faith, and most importantly, a strong heart. I am in awe, really. Yes, yes...What do you think? Why not join me, as a warrior of the Sun? Righteous knights, guardians of all that is good, in the name of the Lord of Sunlight! ...Only if it would please you, of course. Well?"
Solaire of Astora,"Answering ""Yes""","Oh! Magnificent! I knew you would fancy it! Then, join the Covenant! Here, stay still for a moment... And there we are. Now, just say a prayer at the Altar of Sunlight, right there. Then you shall know the brilliance of our Sun."
Solaire of Astora,"Answering ""No""","Yes, well, each has one's beliefs. But if you change your mind, the offer is open."
Solaire of Astora,"Speaking if the player answered ""No""","Oh, hello there. What is it? Have you changed your mind about my offer?"
Solaire of Astora,Speaking after praying to the Sunlight Altar,"Oh, hello there. Exhilarating, is it not? The power of the Sun! I am blessed to have found such a brave companion! Hah hah hah!"
Solaire of Astora,Speaking again at the Sunlight Altar,"Hmm! Ah, oh... hello there. Forgive me, I was just pondering... about my poor fortune. I did not find my own sun, not in Anor Londo, nor in Twilight Blighttown. Where else might my sun be? Lost Izalith, or the Tomb of the Gravelord...? But I cannot give up. I became Undead to pursue this! But when I peer at the Sun up above, it occurs to me... What if I am seen as a laughing stock, as a blind fool without reason? Well, I suppose they wouldn't be far off! Hah hah hah!"
Solaire of Astora,Speaking in Demon Ruins,"After all this searching, I still cannot find it..."
Solaire of Astora,Speaking in shortcut to Lost Izalith,"Was it all a lie? Have I done this all, for nothing? Oh, my dear sun... What now, what should I do...? ...My sun, my dear, dear sun..."
Solaire of Astora,Screams if Solaire goes insane,"...Hrg, rg...Arrrgh... ...Finally, I have found it, I have!... ...My very own sun... I...am the sun!... ...I've done it...I have... ...Yes, I did it...I did!... ...Ohh, ohhh... ...Hrgrraaaooogh!"
Solaire of Astora,Attacking him,"Hrg! Ooh! Whoa! What the...! What's wrong with you?! If a stubborn beast you be, I have no choice! A Warrior of the Sun will not just sit and take it! Hrgraaah!"
Solaire of Astora,Killing him,"Why, you...How could this...? My... my sun..."
Solaire of Astora,Killing insane Solaire,"...Ahh, it's over... ...My Sun...it's setting... ...It's dark, so dark..."
Undead Female Merchant,Introduction,"Hmm, you still have your senses about you? Then why won't you buy some of my moss? I need your souls! Vee hee hee!"
Undead Female Merchant,Talk x1,"This is a wonderful place, don't you think? We have water, moss, moisture, these nice iron bars... I like it here, I really do. Nothing good ever happened to me in life. But now that I'm Undead, I've never been happier!"
Undead Female Merchant,Talk x2,"Tell me honestly... You think I've gone to the other side, don't you? That I've cracked my head and gone Hollow... You do, don't you? I can see it in your eyes. You'd trust a patch of moss over me..."
Undead Female Merchant,Leaving without purchase,Drat. What a humdrum lad you are.
Undead Female Merchant,Greetings,"Oh, there you are, dearie! A pleasure to see you again. Vee hee hee!"
Undead Female Merchant,Greetings after long absence,"Oh, hello, dearie! You left me high and dry for a while, there. I thought maybe you'd forgotten about me. Are you back for more of my moss, then? Plenty of it here. Freshly peeled, just for you! Vee hee hee!"
Undead Female Merchant,Leaving after making a purchase,"Come again, if you please! Vee hee hee!"
Undead Female Merchant,Talk x3,"Ah, go down along the side to reach the depths of the Undead Burg. Only unkempt crooks and liars to be found there. Hardly a place for a lady like myself! But who knows, maybe you'd fit right in? Vee hee hee hee hee!"
Undead Female Merchant,Leaving abruptly,"Hmph, fine, then. But you'll regret it."
Undead Female Merchant,Speaking after abruptly leaving,"Are you toying with me? One day, your fate will catch up with you. I have a sense for these things... The Gods above are watching you!"
Undead Female Merchant,Attacking her,"What do you think you're doing?! I have my pride, you damn fool! You think you can get away with murder? Yes, I suppose you think you're special! Well, you're not! You're just another customer! Burn! Burn in hell! You cross-eyed Hollow! There's no hope for anyone like you! The Gods will not have it! Die! Die! Die! Die! Die a thousand times again! Curses upon you! Upon you, and yours,for generations eternal! All of you! Eternal pain and suffering! Lots and lots! A curse upon you..."
Undead Female Merchant,Killing her,A curse upon you...
Undead Male Merchant,Introduction,"Well, now... You seem to have your wits about you, hmm? Then you are a welcome customer! I trade for souls. Everything's for sale! Nee hee hee hee hee!"
Undead Male Merchant,Greetings,"Oh, you again? I hope you've brought plenty of souls? Nee hee hee hee hee!"
Undead Male Merchant,Greetings x2,"Oh, there you are. Where have you been hiding? I guessed you'd hopped the twig for certain. Bah, shows what I know! Nee hee hee hee!"
Undead Male Merchant,Greetings x3,"Oh, there you are. Still keeping your marbles all together? Then, go ahead, don't be a nitwit. Never hurts to splurge when your days are numbered! Nee hee hee hee hee!"
Undead Male Merchant,Greetings (after being away for some time),"Oh, there you are.Where have you been hiding?I guessed you'd hoped the twig for certain.Bah, shows what I know!Nee hee hee hee hee!"
Undead Male Merchant,Talk 1x,"It's actually quite nice here, you know? The Hollows don't care for a skinny old twig like me. I've got Yulia...And nobody pelts me with stones anymore. You're Undead, you know how it is. I was treated worse back at home."
Undead Male Merchant,Talk 2x,"Eh? My wares? Of course they're stolen; what did you think? And when you lose your head, I'll sell it all again! Nee hee hee hee hee!"
Undead Male Merchant,Talk 3x,"Things are getting treacherous in these parts. A horrible goat demon has moved in below. And up above, there's that humongous drake, and a bull demon too. If you stick around this place, it might end up being your grave! Nee hee hee hee hee!"
Undead Male Merchant,Talk 4x,"Ah, this one? Ain't she lovely? Her name is Yulia. She's plumb in love with me. You'd never leave my side, now would you, Yulia?"
Undead Male Merchant,Talk 5x,"Ah, you can forget it. I'm all that she needs. Careful, she'll bite your little fingers off! Be kind, Yulia, be kind! Nee hee hee hee hee!"
Undead Male Merchant,Talk 6x,"Eh? I'm not here to chit-chat. We talk business, or we talk nothing at all."
Undead Male Merchant,Talk 7x,"Now, don't squander your time chatting! You need to look over my wares!"
Undead Male Merchant,Upon purchasing,Thank you kindly. Nee hee hee hee!
Undead Male Merchant,Upon purchasing 2x,"Ah, thank you, very much. Come back soon! Nee hee hee hee!"
Undead Male Merchant,Leaving without purchasing anything,Hmph. What a waste of time. Go and fall off a cliff.
Undead Male Merchant,Leaving without purchasing anything 2x,"Tsk! Throw me a bone, will you? You haven't got much time anyway. Right, Yulia?"
Undead Male Merchant,Leaving without purchasing anything 3x,"Hmph! Cheap bastard. Right, Yulia?"
Undead Male Merchant,Abruptly leave,"Hey, what! What's the matter?"
Undead Male Merchant,Speak to him after,What was that about?Oh. Nevermind.
Undead Male Merchant,Attacking him (while he's still docile),Eeg!
Undead Male Merchant,Attacking him x2 (while he's still docile),Yeowch!
Undead Male Merchant,Attacking him x3 (while he's still docile),"Oi, what's this about?"
Undead Male Merchant,Attacking him x4 (while he's still docile),"It's me! Stop it, I tell you!"
Undead Male Merchant,Attacking him and making him hostile,"You've gone mad, have you!? I'll teach you! You lousy rat! Yulia! Yulia!"
Undead Male Merchant,Killing him,"Why, me... Little Yulia..."
Vamos,Greeting,Be gone with you! ...You'll spoil my focus.
Vamos,Greeting x2,"...What's that, then? Need some smithing? Then produce me some wares!"
Vamos,Farewell without purchase,"Well, what was that about? Don't be coming around here without a good reason! "
Vamos,Farewell after making a purchase,"If that'll be all, then be gone with you, you'll spoil my focus..."
Vamos,Greeting after leaving the area,Bah! You rotten scoundrel!
Vamos,Leaving abruptly,Now where've you gone?
Vamos,Greeting after leaving abruptly,"...You've got rotten manners. If it be smithing you need, then produce your wares."
Vamos,Showing Large Flame Ember,"Hmph? Why, is that...... An ember from New Londo...... And a fine ember it be... What do you say? Why not leave it with me? I'll give you a flame to feast your eyes upon."
Vamos,Answering 'No',"Hmm, yes, I see... Well, do not hesitate if you should change your mind..."
Vamos,Answering 'Yes',"Yes, yes, very well! We'll get these old bones to work! Keh heh heh!"
Vamos,Showing Chaos Flame Ember,"...Hmph? Why, that's......an ember unlike any that I have seen......a very curious pattern...... Could it be the flame of the legendary witch? ...I know! Suppose you left that ember with me? Old Vamos would never let you down, no, not ever!"
Vamos,Anwering 'No',"Hmm, hmm... Fine, then... I doubt you'd even...bah, forget it... These bones won't fail me anytime soon. I'll come across another, eventually... Keh heh heh heh heh!"
Vamos,Answering 'Yes',"Yes, splendid, splendid indeed!... My, oh, my! You precious little thing..."
Vamos,Showing any other ember,"Hmph? Why, you have......an ember, do you? Ahh, forget about it. I don't deal with that kind. What has gone wrong with embers these days?"
Vamos,Talk,"...Hmph! I'm here to smith, not to chit chat. ...I've told you, I'm here for the trade, not for the talk! ...Enough with your presence. It disturbs me."
Vamos,Talk x2,"Well, you are a persistent one, are you not? But I'm afraid I'm a mere blacksmith, it's just me and my trade. I would be of no help to a righteous warrior such as yourself."
Vamos,Talk x3,"I've told you, I have nothing to discuss..."
Vamos,Talk x4,"If I have anything to offer, it's my smithing, and nothing more."
Vamos,Talk x5,"I'd be of more help with that ember from New Londo, of course... It's a shame the whole place was flooded..."
Vamos,Talk x6,"I've told you, I have nothing to discuss... If I have anything to offer, it's my smithing, and nothing more."
Vamos,Talk x7,"Speaking honestly, I must say that I'm at my very limit. There's no more work to be done. Ahh, unless I had the flame of that legendary witch... But that would require a visit to Lost Izalith. Impossible..."
Vamos,Attacking him,"Trying to cause trouble, are you? I am Vamos the blacksmith, and I'm no bag of bones!"
Vamos,Killing him,Curses...
Vince of Thorolund,Greetings,Hm? What have we here? You look awfully raggedy; are you all right? You look awfully raggedy... Times are grim; the least you can do is look sharp. Don't you dare meet M'lady like that. You might scare her off for good!
Vince of Thorolund,Talk 1x,"Oh, you again. What business have you? I don't suppose we can help, though. We accompany M'lady on her righteous mission. It is quite a chore, but I'm stuck with her, and Nico, too. I can't very well abandon them now."
Vince of Thorolund,Talk 2x,"Oh, you yet again. You're a persistent one, aren't you? Hah hah hah. Honestly, I don't have a problem with your kind. But there's not very much that I can do. I am Vince of Thorolund. Let's say a word, for our safety. A prayer to our marvellous Lord. Vereor Nox."
Vince of Thorolund,Talk 3x,"Oh, it's you? We are to leave momentarily. The Catacombs aren't exactly my idea of a good time, but...What can one do? I do hope we meet again. Vereor Nox."
Vince of Thorolund,Attacking him,Egads! What the! Curses! What the devil's wrong with you? I cannot overlook a threat to M'lady! I'll grind you into dust!
Vince of Thorolund,Killing him,By the Gods...... My...dear lady...
